Avg Critic Score,Critic Score,Region,Vintage,Wine Name,_id
95,96,Cote de Nuits,2016,"Domaine Georges Roumier, Bonnes Mares Grand Cru",6581ba4099d7fcd8bc26880e
95,95,Cote de Nuits,2002,"Domaine Georges Roumier, Bonnes Mares Grand Cru",6581ba4099d7fcd8bc26880f
95,91,Cote de Nuits,2000,"Domaine Georges Roumier, Bonnes Mares Grand Cru",6581ba4099d7fcd8bc268810
95,94,Hermitage,2021,"Domaine Jean Louis Chave, Hermitage, Rouge",6581ba4099d7fcd8bc268811
95,95,Hermitage,2020,"Domaine Jean Louis Chave, Hermitage, Rouge",6581ba4099d7fcd8bc268812
95,93,Cote de Nuits,2001,"Domaine Georges Roumier, Bonnes Mares Grand Cru",6581ba4099d7fcd8bc268813
95,97,Hermitage,2019,"Domaine Jean Louis Chave, Hermitage, Rouge",6581ba4099d7fcd8bc268814
95,96,Hermitage,2016,"Domaine Jean Louis Chave, Hermitage, Rouge",6581ba4099d7fcd8bc268815
95,96,Hermitage,2018,"Domaine Jean Louis Chave, Hermitage, Rouge",6581ba4099d7fcd8bc268816
95,96,Hermitage,2017,"Domaine Jean Louis Chave, Hermitage, Rouge",6581ba4099d7fcd8bc268817
95,95,Hermitage,2014,"Domaine Jean Louis Chave, Hermitage, Rouge",6581ba4099d7fcd8bc268818
95,98,Hermitage,2015,"Domaine Jean Louis Chave, Hermitage, Rouge",6581ba4099d7fcd8bc268819
95,95,Hermitage,2013,"Domaine Jean Louis Chave, Hermitage, Rouge",6581ba4099d7fcd8bc26881a
95,94,Hermitage,2012,"Domaine Jean Louis Chave, Hermitage, Rouge",6581ba4099d7fcd8bc26881b
95,95,Hermitage,2011,"Domaine Jean Louis Chave, Hermitage, Rouge",6581ba4099d7fcd8bc26881c
95,97,Hermitage,2010,"Domaine Jean Louis Chave, Hermitage, Rouge",6581ba4099d7fcd8bc26881d
95,92,Hermitage,2008,"Domaine Jean Louis Chave, Hermitage, Rouge",6581ba4099d7fcd8bc26881e
95,96,Hermitage,2009,"Domaine Jean Louis Chave, Hermitage, Rouge",6581ba4099d7fcd8bc26881f
95,94,Hermitage,2006,"Domaine Jean Louis Chave, Hermitage, Rouge",6581ba4099d7fcd8bc268820
95,94,Hermitage,2007,"Domaine Jean Louis Chave, Hermitage, Rouge",6581ba4099d7fcd8bc268821
95,96,Hermitage,2003,"Domaine Jean Louis Chave, Hermitage, Rouge",6581ba4099d7fcd8bc268822
95,96,Hermitage,2005,"Domaine Jean Louis Chave, Hermitage, Rouge",6581ba4099d7fcd8bc268823
95,95,Hermitage,2004,"Domaine Jean Louis Chave, Hermitage, Rouge",6581ba4099d7fcd8bc268824
95,94,Hermitage,2000,"Domaine Jean Louis Chave, Hermitage, Rouge",6581ba4099d7fcd8bc268825
95,90,Hermitage,2002,"Domaine Jean Louis Chave, Hermitage, Rouge",6581ba4099d7fcd8bc268826
95,94,Hermitage,2001,"Domaine Jean Louis Chave, Hermitage, Rouge",6581ba4099d7fcd8bc268827
95,95,Cote de Beaune,2020,"Domaine Leflaive, Batard-Montrachet Grand Cru",6581ba4099d7fcd8bc268828
95,96,Cote de Beaune,2021,"Domaine Leflaive, Batard-Montrachet Grand Cru",6581ba4099d7fcd8bc268829
95,96,Cote de Beaune,2018,"Domaine Leflaive, Batard-Montrachet Grand Cru",6581ba4099d7fcd8bc26882a
95,96,Cote de Beaune,2019,"Domaine Leflaive, Batard-Montrachet Grand Cru",6581ba4099d7fcd8bc26882b
95,94,Cote de Beaune,2016,"Domaine Leflaive, Batard-Montrachet Grand Cru",6581ba4099d7fcd8bc26882c
95,95,Cote de Beaune,2017,"Domaine Leflaive, Batard-Montrachet Grand Cru",6581ba4099d7fcd8bc26882d
95,94,Cote de Beaune,2009,"Domaine Leflaive, Batard-Montrachet Grand Cru",6581ba4099d7fcd8bc26882e
95,94,Cote de Beaune,2013,"Domaine Leflaive, Batard-Montrachet Grand Cru",6581ba4099d7fcd8bc26882f
95,94,Cote de Beaune,2011,"Domaine Leflaive, Batard-Montrachet Grand Cru",6581ba4099d7fcd8bc268830
95,95,Cote de Beaune,2012,"Domaine Leflaive, Batard-Montrachet Grand Cru",6581ba4099d7fcd8bc268831
